username,text,label
cnsnews_com,RT @johnboehner: Pelosi on #HCR: ''We have to pass the bill so that you can find out what is in it'' http://is.gd/a4BPT,0
ExJon,"RT @vermontaigne Cancer patient died after 58,000 X-ray backlog | Irish Examiner: http://bit.ly/dwStxf via @addthis #hcr #m9",0
LJSearles,"RT @HealthReformNow: As the President said to Republicans, #YouHad10Yrs. See what you'll get with #hcr immediately http://go.usa.gov/lFe",0
kiliffe,#tcot oppose #hcr because they fear that 'brown people' will get something they feel that they alone are entitled to.,0
Rainbow892,RT @thebighoot Barack Obama delivers remarks at St. Louis high school on #HCR but wont take & answer Qs from adult! #tcot #teaparty #p2,0
EzKool,Grandma is Safe with this Health Care Bill - http://bit.ly/cTCm6Y #p2 #tcot #gop #hcr,0
Liam_Fox,Ten Wrong Reasons to Oppose Health Reform -- Politics Daily http://ow.ly/1gIYI #hcr,0
Dudeman1962,"Make no mistake, the #hcr legislation is nothing but a series of dirty tricks. SOP for progressives. #tcot #tpp #tea #p2 #sgp #socialism",0
peterdaou,By what logic does pushing a #hcr bill and dropping it earn you more votes than pushing a #hcr bill and passing it?,0
Pkatt,if people werent so brainwashed we could find a solution that wont sell us out to the people who will take advantage  #hcr #hc09 #healthcare,0
hipEchik,"Ronald Reagan On Socialized Medicine 1961 : http://tinyurl.com/mqtuoq MUST Listen #tcot #hcr If you have heard it, pls listen again!",0
KateRoseMe,Every1 deserves access 2 better healthcare like Sarah Palin got as a child!Sign Petition 4 #HCR http://bit.ly/3GsRB9 #p2,1
webmiss007,"RT @jodotcom: Folks, if we don't pass #hcr now, it will be 30 more yrs before we get another chance; let's don't mess it up.",1
kjlintner,Corey Haim is dead.  I wonder how many Americans w/o Health Care will die today & go unmentioned? #p2 #tcot #hcr,1
BlondeAmerican,The #teaparty protesters & Anti- #HCR protesters outnumbered the Obama supporters. I'm proud of the people of Missouri.,1
toddeherman,"President announces he doesn't give a damn what America thinks, or how bad #ObamaCare is http://is.gd/9yY0N #hcr #tcot",0
mattklewis,He repeated discredited talking points with a straight face.'' - Rep. Boehner on Pres. Obama's #HCR speech today,0
StopBlue,McConnell: ''What we know about the health care bill is people don't want it passed.'' #tcot #hcr (via @Senate_GOPs),0
