username,user id,content,sentiment
padding,69128478,RT @angelsmomaw: #HCR is unwanted because it will bankrupt the USA and give below inferior Healthcare for all. #gop #tcot #tweetcongress,0
GOPLeader,7713202,RT @WMRepublicans President's Remarks Yesterday Don't Match Reality: Dems' Bills INCREASE Premiums http://bit.ly/9Klc8V #hcr,0
cnsnews_com,34927577,RT @johnboehner: Pelosi on #HCR: ''We have to pass the bill so that you can find out what is in it'' http://is.gd/a4BPT,0
ExJon,16930489,"RT @vermontaigne Cancer patient died after 58,000 X-ray backlog | Irish Examiner: http://bit.ly/dwStxf via @addthis #hcr #m9",0
LJSearles,15350894,"RT @HealthReformNow: As the President said to Republicans, #YouHad10Yrs. See what you'll get with #hcr immediately http://go.usa.gov/lFe",0
kiliffe,21280367,#tcot oppose #hcr because they fear that 'brown people' will get something they feel that they alone are entitled to.,0
Rainbow892,45648676,RT @thebighoot Barack Obama delivers remarks at St. Louis high school on #HCR but wont take & answer Qs from adult! #tcot #teaparty #p2,0
EzKool,21964694,Grandma is Safe with this Health Care Bill - http://bit.ly/cTCm6Y #p2 #tcot #gop #hcr,0
Liam_Fox,43977798,Ten Wrong Reasons to Oppose Health Reform -- Politics Daily http://ow.ly/1gIYI #hcr,0
Dudeman1962,71941447,"Make no mistake, the #hcr legislation is nothing but a series of dirty tricks. SOP for progressives. #tcot #tpp #tea #p2 #sgp #socialism",0
peterdaou,18464266,By what logic does pushing a #hcr bill and dropping it earn you more votes than pushing a #hcr bill and passing it?,0
Pkatt,35039919,if people werent so brainwashed we could find a solution that wont sell us out to the people who will take advantage  #hcr #hc09 #healthcare,0
hipEchik,22643800,"Ronald Reagan On Socialized Medicine 1961 : http://tinyurl.com/mqtuoq MUST Listen #tcot #hcr If you have heard it, pls listen again!",0
KateRoseMe,21130327,Every1 deserves access 2 better healthcare like Sarah Palin got as a child!Sign Petition 4 #HCR http://bit.ly/3GsRB9 #p2,1
webmiss007,23825051,"RT @jodotcom: Folks, if we don't pass #hcr now, it will be 30 more yrs before we get another chance; let's don't mess it up.",1
kjlintner,25777000,Corey Haim is dead.  I wonder how many Americans w/o Health Care will die today & go unmentioned? #p2 #tcot #hcr,1
sarahlee310,41373006,AP Health Care Poll: Only FOUR PERCENT Of Americans Don't Want Any Reform http://bit.ly/9rYbqR #HCR #p2,1
BlondeAmerican,64816476,The #teaparty protesters & Anti- #HCR protesters outnumbered the Obama supporters. I'm proud of the people of Missouri.,1
padding,17388022,RW so pissed over #hcr they think ppl will vote against Dems. Ppl would vote for ths who care abt ''we the people'' not ''GOP the people'' #p2,0
toddeherman,17971455,"President announces he doesn't give a damn what America thinks, or how bad #ObamaCare is http://is.gd/9yY0N #hcr #tcot",0
BlockTax,91824727,RT @MikeBlockCPA: Can They Make Obamacare Worse? Yes They Can! COMPROMISE HELL! http://ow.ly/1aoV2 limbaugh #hcr,0
mattklewis,16887628,He repeated discredited talking points with a straight face.'' - Rep. Boehner on Pres. Obama's #HCR speech today,0
StopBlue,60994766,McConnell: ''What we know about the health care bill is people don't want it passed.'' #tcot #hcr (via @Senate_GOPs),0
BrettR4763,19326476,RT @Marnus3: Maybe Obama could trick some republicans into voting for the #hcr bill by covering it in blank sheets of paper. #p2 #hcr #ACORN,0
OsborneInk,63065243,"#GOPcodered They know America needs #HCR, they just don't want Obama to be the one who does it #p2 #tlot",0
AP_Mobile,17809507,Stupak: 12 Dems ready to oppose health care bill http://bit.ly/avqbZW #hcr,0
RebelCapitalist,18086787,"Before he was President, he was for #singlepayer & actually spoke very highly of it. Now, he is against it. What gives Mr. President?  #hcr",0
GregWHoward,27502479,My latest: ''March Madness'' Patriot Style. Let's end this game against us!  http://bit.ly/9JpBMQ #tcot #ocra #sgp #hcr #tlot #hhrs #teaparty,1
winterthur,16474992,RT @Joy__Hart: #Sanders amendmnt Provides over 55 million 2 seniors veterans & disabled w/ 1 X $250 emergency relief paymnt voting now! #hcr,1
reimagin,16274815,"STOP OBAMA CARE, TARGET=VOTE OUT 12 VULNERABLE DEMS Patrick Murphy (202) 225-4276 (215) 826-1963 #killthebill OR ELSE! #hcr",0
usvoteout,56167383,WH hosting dinner party 2nite 4 Dems who voted against #HCR so whats on menu? Kool-aid? dead-fish? or just plain old progressive bribes?,0
StockMarketScam,59461030,http://ow.ly/Q2lv .THE HEALTH CARE SELL OUT.They play games with the health of the people .Another Obama sell out.#tcot 3tlot #hcr cnn bbc,0
SangyeH,54744689,Amnesty Internat'l: Appalling how many women r dying in the US fr complic due 2pregnancy & childbirth.  1/2 can be prevented. #hcr,1
USLib,73699879,How he sleeps at night. RT @wolfblitzercnn: Karl Rove joins me Wednesday in SitRoom 5PM ET. What would you ask him?,0
